,WhiteLow,WhiteHigh,BlackLow,BlackHigh
WhiteLow,16.960383850769638,19.504529078917567,16.591483096181175,46.943603974131626
WhiteHigh,8.374499332635953,13.591707349553303,10.174082450657064,67.85971086715367
BlackLow,15.118359733371541,16.930992440293217,14.099519056216788,53.85112877011845
BlackHigh,8.015974347109877,16.179448676554184,10.696385645051784,65.10819133128415
