metric,paper,expanded_compas_groups,expanded_equal_opportunity_proxy_compas_groups,paperish_compas_groups,criminal_only_compas_groups,paper_model_criminal_distance_compas_groups
WhiteLow_to_BlackHigh_bias_share,43.8,23.532972020428083,27.086824537725875,17.378665496183114,46.943603974131626,21.660568486067525
BlackHigh_to_WhiteLow_bias_share,48.3,9.813166335985093,15.393188334435226,14.862995325977959,8.015974347109877,6.511738168741814
BlackHigh_vs_BlackLow_mean_bias_pct,5.88,65.37639237520918,50.04792829399685,-11.250980423329137,311.90146065480394,92.1899155818072
WhiteLow_vs_WhiteHigh_mean_bias_pct,4.92,-30.589963666755573,-29.722220613406225,-15.497397202542917,-74.0797790762854,-41.16546070811638
