variant,source_group_definition,n_white_low_source,n_white_high_source,n_black_low_source,n_black_high_source,mass_pct_WhiteLow_to_BlackHigh,mass_pct_BlackHigh_to_WhiteLow,bias_pct_WhiteLow_to_BlackHigh,bias_pct_BlackHigh_to_WhiteLow,mean_bias_black_high_vs_black_low_pct,mean_bias_white_low_vs_white_high_pct
expanded_compas_groups,COMPAS risk labels,1407,696,1346,1829,16.844349680170673,11.044286495352736,23.532972020428083,9.813166335985093,65.37639237520918,-30.589963666755573
expanded_equal_opportunity_proxy_compas_groups,COMPAS risk labels,1407,696,1346,1829,20.824449182658277,17.605248769819728,27.086824537725875,15.393188334435226,50.04792829399685,-29.722220613406225
paperish_compas_groups,COMPAS risk labels,1407,696,1346,1829,13.077469793887767,9.294696555494868,17.378665496183114,14.862995325977959,-11.250980423329137,-15.497397202542917
criminal_only_compas_groups,COMPAS risk labels,1407,696,1346,1829,19.900497512437973,15.636960087479645,46.943603974131626,8.015974347109877,311.90146065480394,-74.0797790762854
paper_model_criminal_distance_compas_groups,COMPAS risk labels,1407,696,1346,1829,13.077469793887767,9.294696555494868,21.660568486067525,6.511738168741814,92.1899155818072,-41.16546070811638
