,WhiteLow,WhiteHigh,BlackLow,BlackHigh
WhiteLow,42.13598045946834,17.41046187577121,18.792989178692913,21.660568486067525
WhiteHigh,17.40212861702239,16.37944958707035,18.29730980805149,47.92111198785577
BlackLow,23.816886812868486,14.391381329520492,26.449618926373514,35.342112931237494
BlackHigh,6.511738168741814,12.535049249669022,13.763459032050926,67.18975354953824
